MASN/MDSN count,MASN(n) equator crossing time,MDSN(n) equator crossing time,ESA delimited orbits: orbit duration (s) ((MASN(n+1)-1s)-MASN(n))
1453,2018 MAR 26 18:45:12,2018 MAR 26 19:43:10,7498
1454,2018 MAR 26 20:50:11,2018 MAR 26 21:48:08,7499
1455,2018 MAR 26 22:55:11,2018 MAR 26 23:53:04,7495
1456,2018 MAR 27 01:00:07,2018 MAR 27 01:57:58,7491
1457,2018 MAR 27 03:04:59,2018 MAR 27 04:02:51,7494
1458,2018 MAR 27 05:09:54,2018 MAR 27 06:07:47,7499
1459,2018 MAR 27 07:14:54,2018 MAR 27 08:12:44,7498
1460,2018 MAR 27 09:19:53,2018 MAR 27 10:17:42,7496
1461,2018 MAR 27 11:24:50,2018 MAR 27 12:22:38,7493
1462,2018 MAR 27 13:29:44,2018 MAR 27 14:27:32,7494
1463,2018 MAR 27 15:34:39,2018 MAR 27 16:32:25,7494
1464,2018 MAR 27 17:39:34,2018 MAR 27 18:37:21,7497
1465,2018 MAR 27 19:44:32,2018 MAR 27 20:42:20,7499
1466,2018 MAR 27 21:49:32,2018 MAR 27 22:47:18,7497
1467,2018 MAR 27 23:54:30,2018 MAR 28 00:52:13,7494
1468,2018 MAR 28 01:59:25,2018 MAR 28 02:57:06,7492
1469,2018 MAR 28 04:04:18,2018 MAR 28 05:02:01,7496
1470,2018 MAR 28 06:09:15,2018 MAR 28 07:07:01,7328
1471,2018 MAR 28 08:11:24,2018 MAR 28 09:08:37,7296
1472,2018 MAR 28 10:13:01,2018 MAR 28 11:10:14,7294
1473,2018 MAR 28 12:14:36,2018 MAR 28 13:11:48,7293
1474,2018 MAR 28 14:16:10,2018 MAR 28 15:13:20,7291
1475,2018 MAR 28 16:17:42,2018 MAR 28 17:14:52,7294
1476,2018 MAR 28 18:19:17,2018 MAR 28 19:16:28,7295
1477,2018 MAR 28 20:20:53,2018 MAR 28 21:18:05,7297
1478,2018 MAR 28 22:22:31,2018 MAR 28 23:19:42,7296
1479,2018 MAR 29 00:24:08,2018 MAR 29 01:21:16,7293
1480,2018 MAR 29 02:25:42,2018 MAR 29 03:22:48,7290
1481,2018 MAR 29 04:27:13,2018 MAR 29 05:24:21,7295
1482,2018 MAR 29 06:28:49,2018 MAR 29 07:25:56,7297
1483,2018 MAR 29 08:30:27,2018 MAR 29 09:27:33,7296
1484,2018 MAR 29 10:32:04,2018 MAR 29 11:29:09,7294
1485,2018 MAR 29 12:33:39,2018 MAR 29 13:30:44,7293
1486,2018 MAR 29 14:35:13,2018 MAR 29 15:32:16,7291
1487,2018 MAR 29 16:36:45,2018 MAR 29 17:33:48,7294
1488,2018 MAR 29 18:38:20,2018 MAR 29 19:35:24,7295
1489,2018 MAR 29 20:39:56,2018 MAR 29 21:37:02,7297
1490,2018 MAR 29 22:41:34,2018 MAR 29 23:38:38,7297
1491,2018 MAR 30 00:43:12,2018 MAR 30 01:40:13,7293
1492,2018 MAR 30 02:44:46,2018 MAR 30 03:41:45,7290
1493,2018 MAR 30 04:46:17,2018 MAR 30 05:43:18,7294
1494,2018 MAR 30 06:47:52,2018 MAR 30 07:44:53,7297
1495,2018 MAR 30 08:49:30,2018 MAR 30 09:46:30,7297
1496,2018 MAR 30 10:51:08,2018 MAR 30 11:48:07,7294
1497,2018 MAR 30 12:52:43,2018 MAR 30 13:49:42,7293
1498,2018 MAR 30 14:54:17,2018 MAR 30 15:51:14,7291
1499,2018 MAR 30 16:55:49,2018 MAR 30 17:52:46,7294
1500,2018 MAR 30 18:57:24,2018 MAR 30 19:54:22,7295
1501,2018 MAR 30 20:59:00,2018 MAR 30 21:56:00,7298
1502,2018 MAR 30 23:00:39,2018 MAR 30 23:57:37,7296
1503,2018 MAR 31 01:02:16,2018 MAR 31 01:59:11,7293
1504,2018 MAR 31 03:03:50,2018 MAR 31 04:00:44,7291
1505,2018 MAR 31 05:05:22,2018 MAR 31 06:02:17,7293
1506,2018 MAR 31 07:06:56,2018 MAR 31 08:03:52,7298
1507,2018 MAR 31 09:08:35,2018 MAR 31 10:05:29,7296
1508,2018 MAR 31 11:10:12,2018 MAR 31 12:07:06,7295
1509,2018 MAR 31 13:11:48,2018 MAR 31 14:08:41,7293
1510,2018 MAR 31 15:13:22,2018 MAR 31 16:10:14,7292
1511,2018 MAR 31 17:14:55,2018 MAR 31 18:11:46,7293
1512,2018 MAR 31 19:16:29,2018 MAR 31 20:13:22,7296
1513,2018 MAR 31 21:18:06,2018 MAR 31 22:15:00,7297
1514,2018 MAR 31 23:19:44,2018 APR 01 00:16:37,7297
1515,2018 APR 01 01:21:22,2018 APR 01 02:18:12,7294
1516,2018 APR 01 03:22:57,2018 APR 01 04:19:45,7290
1517,2018 APR 01 05:24:28,2018 APR 01 06:21:18,7293
1518,2018 APR 01 07:26:02,2018 APR 01 08:22:53,7297
1519,2018 APR 01 09:27:40,2018 APR 01 10:24:30,7297
1520,2018 APR 01 11:29:18,2018 APR 01 12:26:07,7295
1521,2018 APR 01 13:30:54,2018 APR 01 14:27:43,7293
1522,2018 APR 01 15:32:28,2018 APR 01 16:29:16,7292
1523,2018 APR 01 17:34:01,2018 APR 01 18:30:48,7294
1524,2018 APR 01 19:35:36,2018 APR 01 20:32:24,7295
1525,2018 APR 01 21:37:12,2018 APR 01 22:34:02,7298
1526,2018 APR 01 23:38:51,2018 APR 02 00:35:40,7297
1527,2018 APR 02 01:40:29,2018 APR 02 02:37:15,7294
1528,2018 APR 02 03:42:04,2018 APR 02 04:38:48,7290
1529,2018 APR 02 05:43:35,2018 APR 02 06:40:21,7293
1530,2018 APR 02 07:45:09,2018 APR 02 08:41:56,7298
1531,2018 APR 02 09:46:48,2018 APR 02 10:43:33,7297
1532,2018 APR 02 11:48:26,2018 APR 02 12:45:11,7295
1533,2018 APR 02 13:50:02,2018 APR 02 14:46:47,7293
1534,2018 APR 02 15:51:36,2018 APR 02 16:48:20,7292
1535,2018 APR 02 17:53:09,2018 APR 02 18:49:52,7293
1536,2018 APR 02 19:54:43,2018 APR 02 20:51:28,7296
1537,2018 APR 02 21:56:20,2018 APR 02 22:53:06,7297
1538,2018 APR 02 23:57:58,2018 APR 03 00:54:44,7298
1539,2018 APR 03 01:59:37,2018 APR 03 02:56:20,7294
1540,2018 APR 03 04:01:12,2018 APR 03 04:57:53,7291
1541,2018 APR 03 06:02:44,2018 APR 03 06:59:26,7292
1542,2018 APR 03 08:04:17,2018 APR 03 09:01:01,7298
1543,2018 APR 03 10:05:56,2018 APR 03 11:02:38,7297
1544,2018 APR 03 12:07:34,2018 APR 03 13:04:16,7295
1545,2018 APR 03 14:09:10,2018 APR 03 15:05:52,7293
1546,2018 APR 03 16:10:44,2018 APR 03 17:07:26,7292
1547,2018 APR 03 18:12:17,2018 APR 03 19:08:58,7294
1548,2018 APR 03 20:13:52,2018 APR 03 21:10:33,7295
1549,2018 APR 03 22:15:28,2018 APR 03 23:12:12,7297
1550,2018 APR 04 00:17:06,2018 APR 04 01:13:50,7298
1551,2018 APR 04 02:18:45,2018 APR 04 03:15:26,7295
1552,2018 APR 04 04:20:21,2018 APR 04 05:16:59,7290
1553,2018 APR 04 06:21:52,2018 APR 04 07:18:31,7114
1554,2018 APR 04 08:20:27,2018 APR 04 09:16:55,7106
1555,2018 APR 04 10:18:54,2018 APR 04 11:15:21,7106
1556,2018 APR 04 12:17:21,2018 APR 04 13:13:47,7104
1557,2018 APR 04 14:15:46,2018 APR 04 15:12:13,7103
1558,2018 APR 04 16:14:10,2018 APR 04 17:10:36,7101
1559,2018 APR 04 18:12:32,2018 APR 04 19:08:57,7102
1560,2018 APR 04 20:10:55,2018 APR 04 21:07:20,7104
1561,2018 APR 04 22:09:20,2018 APR 04 23:05:47,7106
1562,2018 APR 05 00:07:47,2018 APR 05 01:04:15,7106
1563,2018 APR 05 02:06:14,2018 APR 05 03:02:41,7105
1564,2018 APR 05 04:04:40,2018 APR 05 05:01:04,7101
1565,2018 APR 05 06:03:02,2018 APR 05 06:59:26,7101
1566,2018 APR 05 08:01:24,2018 APR 05 08:57:50,7105
1567,2018 APR 05 09:59:50,2018 APR 05 10:56:15,7106
1568,2018 APR 05 11:58:17,2018 APR 05 12:54:42,7105
1569,2018 APR 05 13:56:43,2018 APR 05 14:53:08,7104
1570,2018 APR 05 15:55:08,2018 APR 05 16:51:33,7101
1571,2018 APR 05 17:53:30,2018 APR 05 18:49:54,7101
1572,2018 APR 05 19:51:52,2018 APR 05 20:48:16,7103
1573,2018 APR 05 21:50:16,2018 APR 05 22:46:42,7105
1574,2018 APR 05 23:48:42,2018 APR 06 00:45:10,7107
1575,2018 APR 06 01:47:10,2018 APR 06 02:43:36,7105
1576,2018 APR 06 03:45:36,2018 APR 06 04:42:00,7102
1577,2018 APR 06 05:43:59,2018 APR 06 06:40:22,7100
1578,2018 APR 06 07:42:20,2018 APR 06 08:38:45,7103
1579,2018 APR 06 09:40:44,2018 APR 06 10:37:09,7106
1580,2018 APR 06 11:39:11,2018 APR 06 12:35:36,7106
1581,2018 APR 06 13:37:38,2018 APR 06 14:34:03,7104
1582,2018 APR 06 15:36:03,2018 APR 06 16:32:28,7102
1583,2018 APR 06 17:34:26,2018 APR 06 18:30:50,7102
1584,2018 APR 06 19:32:49,2018 APR 06 20:29:11,7102
1585,2018 APR 06 21:31:12,2018 APR 06 22:27:36,7104
1586,2018 APR 06 23:29:37,2018 APR 07 00:26:04,7107
1587,2018 APR 07 01:28:05,2018 APR 07 02:24:31,7106
1588,2018 APR 07 03:26:32,2018 APR 07 04:22:57,7104
1589,2018 APR 07 05:24:57,2018 APR 07 06:21:20,7100
1590,2018 APR 07 07:23:18,2018 APR 07 08:19:42,7101
1591,2018 APR 07 09:21:40,2018 APR 07 10:18:06,7106
1592,2018 APR 07 11:20:07,2018 APR 07 12:16:32,7106
1593,2018 APR 07 13:18:34,2018 APR 07 14:14:59,7105
1594,2018 APR 07 15:17:00,2018 APR 07 16:13:25,7103
1595,2018 APR 07 17:15:24,2018 APR 07 18:11:49,7101
1596,2018 APR 07 19:13:46,2018 APR 07 20:10:09,7101
1597,2018 APR 07 21:12:08,2018 APR 07 22:08:32,7104
1598,2018 APR 07 23:10:33,2018 APR 08 00:06:59,7105
1599,2018 APR 08 01:08:59,2018 APR 08 02:05:27,7106
1600,2018 APR 08 03:07:26,2018 APR 08 04:03:52,7105
1601,2018 APR 08 05:05:52,2018 APR 08 06:02:16,7102
1602,2018 APR 08 07:04:15,2018 APR 08 08:00:38,7100
1603,2018 APR 08 09:02:36,2018 APR 08 09:59:01,7104
1604,2018 APR 08 11:01:01,2018 APR 08 11:57:26,7107
1605,2018 APR 08 12:59:29,2018 APR 08 13:55:53,7105
1606,2018 APR 08 14:57:55,2018 APR 08 15:54:20,7103
1607,2018 APR 08 16:56:19,2018 APR 08 17:52:45,7102
1608,2018 APR 08 18:54:42,2018 APR 08 19:51:07,7101
1609,2018 APR 08 20:53:04,2018 APR 08 21:49:28,7103
1610,2018 APR 08 22:51:28,2018 APR 08 23:47:54,7105
1611,2018 APR 09 00:49:54,2018 APR 09 01:46:22,7106
1612,2018 APR 09 02:48:21,2018 APR 09 03:44:49,7106
1613,2018 APR 09 04:46:48,2018 APR 09 05:43:13,7103
1614,2018 APR 09 06:45:12,2018 APR 09 07:41:36,7099
1615,2018 APR 09 08:43:32,2018 APR 09 09:39:58,7102
1616,2018 APR 09 10:41:55,2018 APR 09 11:38:23,7106
1617,2018 APR 09 12:40:22,2018 APR 09 13:36:49,7106
1618,2018 APR 09 14:38:49,2018 APR 09 15:35:16,7104
1619,2018 APR 09 16:37:14,2018 APR 09 17:33:42,7103
1620,2018 APR 09 18:35:38,2018 APR 09 19:32:05,7101
1621,2018 APR 09 20:34:00,2018 APR 09 21:30:25,7102
1622,2018 APR 09 22:32:23,2018 APR 09 23:28:49,7104
1623,2018 APR 10 00:30:48,2018 APR 10 01:27:17,7106
1624,2018 APR 10 02:29:15,2018 APR 10 03:25:45,7106
1625,2018 APR 10 04:27:42,2018 APR 10 05:24:10,7104
1626,2018 APR 10 06:26:07,2018 APR 10 07:22:34,7101
1627,2018 APR 10 08:24:29,2018 APR 10 09:20:56,7101
1628,2018 APR 10 10:22:51,2018 APR 10 11:19:06,6924
1629,2018 APR 10 12:18:16,2018 APR 10 13:14:30,6925
1630,2018 APR 10 14:13:42,2018 APR 10 15:09:55,6923
1631,2018 APR 10 16:09:06,2018 APR 10 17:05:20,6922
1632,2018 APR 10 18:04:29,2018 APR 10 19:00:43,6920
1633,2018 APR 10 19:59:50,2018 APR 10 20:56:03,6919
1634,2018 APR 10 21:55:10,2018 APR 10 22:51:23,6922
1635,2018 APR 10 23:50:33,2018 APR 11 00:46:48,6923
1636,2018 APR 11 01:45:57,2018 APR 11 02:42:14,6924
1637,2018 APR 11 03:41:22,2018 APR 11 04:37:39,6925
1638,2018 APR 11 05:36:48,2018 APR 11 06:33:02,6921
1639,2018 APR 11 07:32:10,2018 APR 11 08:28:22,6918
1640,2018 APR 11 09:27:29,2018 APR 11 10:23:43,6919
1641,2018 APR 11 11:22:49,2018 APR 11 12:19:06,6925
1642,2018 APR 11 13:18:15,2018 APR 11 14:14:30,6924
1643,2018 APR 11 15:13:40,2018 APR 11 16:09:55,6923
1644,2018 APR 11 17:09:04,2018 APR 11 18:05:20,6920
1645,2018 APR 11 19:04:25,2018 APR 11 20:00:41,6920
1646,2018 APR 11 20:59:46,2018 APR 11 21:56:00,6920
1647,2018 APR 11 22:55:07,2018 APR 11 23:51:21,6921
1648,2018 APR 12 00:50:29,2018 APR 12 01:46:47,6924
1649,2018 APR 12 02:45:54,2018 APR 12 03:42:12,6924
1650,2018 APR 12 04:41:19,2018 APR 12 05:37:37,6923
1651,2018 APR 12 06:36:43,2018 APR 12 07:32:59,6920
1652,2018 APR 12 08:32:04,2018 APR 12 09:28:19,6918
1653,2018 APR 12 10:27:23,2018 APR 12 11:23:40,6922
1654,2018 APR 12 12:22:46,2018 APR 12 13:19:03,6925
1655,2018 APR 12 14:18:12,2018 APR 12 15:14:29,6924
1656,2018 APR 12 16:13:37,2018 APR 12 17:09:54,6923
1657,2018 APR 12 18:09:01,2018 APR 12 19:05:18,6920
1658,2018 APR 12 20:04:22,2018 APR 12 21:00:38,6919
1659,2018 APR 12 21:59:42,2018 APR 12 22:55:58,6921
1660,2018 APR 12 23:55:04,2018 APR 13 00:51:21,6923
1661,2018 APR 13 01:50:28,2018 APR 13 02:46:47,6924
1662,2018 APR 13 03:45:53,2018 APR 13 04:42:13,6925
1663,2018 APR 13 05:41:19,2018 APR 13 06:37:37,6923
1664,2018 APR 13 07:36:43,2018 APR 13 08:32:59,6919
1665,2018 APR 13 09:32:03,2018 APR 13 10:28:20,6919
1666,2018 APR 13 11:27:23,2018 APR 13 12:23:42,6923
1667,2018 APR 13 13:22:47,2018 APR 13 14:19:06,6925
1668,2018 APR 13 15:18:13,2018 APR 13 16:14:31,6924
1669,2018 APR 13 17:13:38,2018 APR 13 18:09:57,6922
1670,2018 APR 13 19:09:01,2018 APR 13 20:05:20,6920
1671,2018 APR 13 21:04:22,2018 APR 13 22:00:40,6919
1672,2018 APR 13 22:59:42,2018 APR 13 23:56:00,6921
1673,2018 APR 14 00:55:04,2018 APR 14 01:51:25,6923
1674,2018 APR 14 02:50:28,2018 APR 14 03:46:51,6925
1675,2018 APR 14 04:45:54,2018 APR 14 05:42:17,6924
1676,2018 APR 14 06:41:19,2018 APR 14 07:37:40,6922
1677,2018 APR 14 08:36:42,2018 APR 14 09:33:01,6918
1678,2018 APR 14 10:32:01,2018 APR 14 11:28:22,6920
1679,2018 APR 14 12:27:22,2018 APR 14 13:23:44,6924
1680,2018 APR 14 14:22:47,2018 APR 14 15:19:09,6924
1681,2018 APR 14 16:18:12,2018 APR 14 17:14:34,6923
1682,2018 APR 14 18:13:36,2018 APR 14 19:09:58,6921
1683,2018 APR 14 20:08:58,2018 APR 14 21:05:21,6919
1684,2018 APR 14 22:04:18,2018 APR 14 23:00:40,6920
1685,2018 APR 14 23:59:39,2018 APR 15 00:56:01,6921
1686,2018 APR 15 01:55:01,2018 APR 15 02:51:26,6924
1687,2018 APR 15 03:50:26,2018 APR 15 04:46:52,6924
1688,2018 APR 15 05:45:51,2018 APR 15 06:42:16,6923
1689,2018 APR 15 07:41:15,2018 APR 15 08:37:38,6920
1690,2018 APR 15 09:36:36,2018 APR 15 10:32:58,6918
1691,2018 APR 15 11:31:55,2018 APR 15 12:28:19,6921
1692,2018 APR 15 13:27:17,2018 APR 15 14:23:42,6925
1693,2018 APR 15 15:22:43,2018 APR 15 16:19:07,6924
1694,2018 APR 15 17:18:08,2018 APR 15 18:14:33,6922
1695,2018 APR 15 19:13:31,2018 APR 15 20:09:57,6921
1696,2018 APR 15 21:08:53,2018 APR 15 22:05:18,6919
1697,2018 APR 15 23:04:13,2018 APR 16 00:00:37,6920
1698,2018 APR 16 00:59:34,2018 APR 16 01:55:59,6923
1699,2018 APR 16 02:54:58,2018 APR 16 03:51:25,6924
1700,2018 APR 16 04:50:23,2018 APR 16 05:46:51,6925
1701,2018 APR 16 06:45:49,2018 APR 16 07:42:15,6922
1702,2018 APR 16 08:41:12,2018 APR 16 09:37:37,6920
1703,2018 APR 16 10:36:33,2018 APR 16 11:32:58,6919
1704,2018 APR 16 12:31:53,2018 APR 16 13:28:20,6923
1705,2018 APR 16 14:27:17,2018 APR 16 15:23:44,6925
1706,2018 APR 16 16:22:43,2018 APR 16 17:19:10,6923
1707,2018 APR 16 18:18:07,2018 APR 16 19:14:35,6922
1708,2018 APR 16 20:13:30,2018 APR 16 21:09:59,6920
1709,2018 APR 16 22:08:51,2018 APR 16 23:05:19,6920
1710,2018 APR 17 00:04:12,2018 APR 17 01:00:39,6921
1711,2018 APR 17 01:59:34,2018 APR 17 02:56:03,6923
1712,2018 APR 17 03:54:58,2018 APR 17 04:51:30,6925
1713,2018 APR 17 05:50:24,2018 APR 17 06:46:56,6960
1714,2018 APR 17 07:46:25,2018 APR 17 08:45:19,7097
1715,2018 APR 17 09:44:43,2018 APR 17 10:43:35,7094
1716,2018 APR 17 11:42:58,2018 APR 17 12:41:52,7095
1717,2018 APR 17 13:41:14,2018 APR 17 14:40:10,7099
1718,2018 APR 17 15:39:34,2018 APR 17 16:38:30,7100
1719,2018 APR 17 17:37:55,2018 APR 17 18:36:50,7099
1720,2018 APR 17 19:36:15,2018 APR 17 20:35:10,7096
1721,2018 APR 17 21:34:32,2018 APR 17 22:33:27,7095
1722,2018 APR 17 23:32:48,2018 APR 18 00:31:42,7096
1723,2018 APR 18 01:31:05,2018 APR 18 02:29:59,7097
1724,2018 APR 18 03:29:23,2018 APR 18 04:28:20,7100
1725,2018 APR 18 05:27:44,2018 APR 18 06:26:41,7100
1726,2018 APR 18 07:26:05,2018 APR 18 08:25:01,7098
1727,2018 APR 18 09:24:24,2018 APR 18 10:23:18,7095
1728,2018 APR 18 11:22:40,2018 APR 18 12:21:34,7094
1729,2018 APR 18 13:20:55,2018 APR 18 14:19:51,7099
1730,2018 APR 18 15:19:15,2018 APR 18 16:18:11,7100
1731,2018 APR 18 17:17:36,2018 APR 18 18:16:31,7099
1732,2018 APR 18 19:15:56,2018 APR 18 20:14:52,7097
1733,2018 APR 18 21:14:14,2018 APR 18 22:13:10,7096
1734,2018 APR 18 23:12:31,2018 APR 19 00:11:26,7095
1735,2018 APR 19 01:10:47,2018 APR 19 02:09:41,7096
1736,2018 APR 19 03:09:04,2018 APR 19 04:08:01,7099
1737,2018 APR 19 05:07:24,2018 APR 19 06:06:23,7100
1738,2018 APR 19 07:05:45,2018 APR 19 08:04:43,7099
1739,2018 APR 19 09:04:05,2018 APR 19 10:03:01,7096
1740,2018 APR 19 11:02:22,2018 APR 19 12:01:17,7094
1741,2018 APR 19 13:00:37,2018 APR 19 13:59:34,7096
1742,2018 APR 19 14:58:54,2018 APR 19 15:57:52,7100
1743,2018 APR 19 16:57:15,2018 APR 19 17:56:12,7100
1744,2018 APR 19 18:55:36,2018 APR 19 19:54:33,7098
1745,2018 APR 19 20:53:55,2018 APR 19 21:52:52,7096
1746,2018 APR 19 22:52:12,2018 APR 19 23:51:09,7095
1747,2018 APR 20 00:50:28,2018 APR 20 01:49:24,7096
1748,2018 APR 20 02:48:45,2018 APR 20 03:47:42,7098
1749,2018 APR 20 04:47:04,2018 APR 20 05:46:03,7100
1750,2018 APR 20 06:45:25,2018 APR 20 07:44:25,7100
1751,2018 APR 20 08:43:46,2018 APR 20 09:42:44,7098
1752,2018 APR 20 10:42:05,2018 APR 20 11:41:01,7094
1753,2018 APR 20 12:40:20,2018 APR 20 13:39:17,7095
1754,2018 APR 20 14:38:36,2018 APR 20 15:37:35,7099
1755,2018 APR 20 16:36:56,2018 APR 20 17:35:55,7100
1756,2018 APR 20 18:35:17,2018 APR 20 19:34:15,7099
1757,2018 APR 20 20:33:37,2018 APR 20 21:32:36,7096
1758,2018 APR 20 22:31:54,2018 APR 20 23:30:53,7096
1759,2018 APR 21 00:30:11,2018 APR 21 01:29:08,7095
1760,2018 APR 21 02:28:27,2018 APR 21 03:27:25,7097
1761,2018 APR 21 04:26:45,2018 APR 21 05:25:45,7099
1762,2018 APR 21 06:25:05,2018 APR 21 07:24:06,7100
1763,2018 APR 21 08:23:26,2018 APR 21 09:22:26,7098
1764,2018 APR 21 10:21:45,2018 APR 21 11:20:44,7096
1765,2018 APR 21 12:20:02,2018 APR 21 13:19:00,N/A
